STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot
UT,49,Wayne County,055,49055,2015,2.692,0.89,45.96,46.85,0.00,33.34,13.35,0.00,6.34,19.69,0.89,45.96,46.85,33.34,13.35,0.00,6.34,19.69
UT,49,Weber County,057,49057,2015,243.645,2.09,76.99,79.08,0.00,61.08,7.02,0.04,30.75,37.81,1.57,74.09,75.66,59.37,5.94,0.04,30.75,36.73
VT,50,Addison County,001,50001,2015,37.035,0.05,0.14,0.19,--,0.18,0.23,0.14,0.06,0.43,0.05,0.08,0.13,0.12,0.13,0.14,0.06,0.33
VT,50,Bennington County,003,50003,2015,36.317,0.16,0.22,0.38,--,0.37,0.52,0.14,0.05,0.71,0.05,0.08,0.13,0.13,0.14,0.14,0.05,0.33
VT,50,Caledonia County,005,50005,2015,30.780,0.04,0.04,0.08,--,0.06,0.12,0.04,0.04,0.20,0.02,0.02,0.04,0.03,0.04,0.04,0.04,0.12
VT,50,Chittenden County,007,50007,2015,161.382,0.17,0.28,0.45,--,0.42,0.83,0.21,0.09,1.13,0.04,0.07,0.11,0.10,0.21,0.21,0.09,0.51
VT,50,Essex County,009,50009,2015,6.163,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VT,50,Franklin County,011,50011,2015,48.799,0.10,0.16,0.26,--,0.24,0.43,0.25,0.08,0.76,0.05,0.11,0.16,0.15,0.25,0.25,0.08,0.58
VT,50,Grand Isle County,013,50013,2015,6.861,0.01,0.09,0.10,--,0.10,0.18,0.02,0.02,0.22,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.06
VT,50,Lamoille County,015,50015,2015,25.235,0.03,0.10,0.13,--,0.12,0.24,0.04,0.02,0.30,0.01,0.01,0.02,0.01,0.04,0.04,0.02,0.10
VT,50,Orange County,017,50017,2015,28.899,0.05,0.06,0.11,--,0.10,0.19,0.09,0.04,0.32,0.02,0.03,0.05,0.04,0.07,0.09,0.04,0.20
VT,50,Orleans County,019,50019,2015,27.100,0.05,0.12,0.17,--,0.15,0.34,0.07,0.04,0.45,0.02,0.03,0.05,0.04,0.07,0.07,0.04,0.18
VT,50,Rutland County,021,50021,2015,59.736,0.14,0.26,0.40,--,0.38,0.49,0.09,0.05,0.63,0.03,0.06,0.09,0.09,0.09,0.09,0.05,0.23
VT,50,Washington County,023,50023,2015,58.612,0.03,0.15,0.18,--,0.18,0.31,0.08,0.04,0.43,0.02,0.02,0.04,0.04,0.08,0.08,0.04,0.20
VT,50,Windham County,025,50025,2015,43.386,0.15,0.25,0.40,--,0.38,0.45,0.19,0.07,0.71,0.06,0.12,0.18,0.17,0.19,0.19,0.07,0.45
VT,50,Windsor County,027,50027,2015,55.737,0.04,0.22,0.26,--,0.25,0.35,0.11,0.05,0.51,0.02,0.05,0.07,0.07,0.08,0.11,0.05,0.24
VA,51,Accomack County,001,51001,2015,32.973,1.07,9.63,10.70,--,9.09,2.92,2.67,0.00,5.59,1.07,9.57,10.64,9.04,2.70,2.67,0.00,5.37
VA,51,Albemarle County,003,51003,2015,105.703,0.10,0.83,0.93,--,0.79,1.03,1.18,0.00,2.21,0.00,0.44,0.44,0.37,0.27,1.18,0.00,1.45
VA,51,Alleghany County,005,51005,2015,15.677,0.03,0.08,0.11,--,0.09,0.23,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01
VA,51,Amelia County,007,51007,2015,12.903,0.01,0.13,0.14,--,0.12,0.43,0.00,0.00,0.43,0.01,0.11,0.12,0.10,0.38,0.00,0.00,0.38
VA,51,Amherst County,009,51009,2015,31.914,0.00,0.09,0.09,--,0.08,0.33,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Appomattox County,011,51011,2015,15.414,0.00,0.11,0.11,--,0.10,0.23,0.04,0.00,0.27,0.00,0.03,0.03,0.03,0.07,0.04,0.00,0.11
VA,51,Arlington County,013,51013,2015,229.164,0.03,0.10,0.13,--,0.11,0.49,0.00,0.00,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Augusta County,015,51015,2015,74.314,0.10,1.08,1.18,--,1.00,3.38,0.00,0.00,3.38,0.08,1.06,1.14,0.97,3.27,0.00,0.00,3.27
VA,51,Bath County,017,51017,2015,4.470,0.00,0.17,0.17,--,0.14,0.35,0.00,0.00,0.35,0.00,0.01,0.01,0.00,0.02,0.00,0.00,0.02
VA,51,Bedford County,019,51019,2015,77.724,0.05,0.13,0.18,--,0.16,0.95,0.02,0.00,0.97,0.00,0.03,0.03,0.03,0.08,0.02,0.00,0.10
VA,51,Bland County,021,51021,2015,6.561,0.00,0.06,0.06,--,0.05,0.11,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Botetourt County,023,51023,2015,33.347,0.02,0.03,0.05,--,0.05,0.32,0.00,0.00,0.32,0.00,0.02,0.02,0.02,0.05,0.00,0.00,0.05
VA,51,Brunswick County,025,51025,2015,16.698,0.03,0.43,0.46,--,0.39,1.43,0.01,0.00,1.44,0.02,0.36,0.38,0.32,1.27,0.01,0.00,1.28
VA,51,Buchanan County,027,51027,2015,22.776,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Buckingham County,029,51029,2015,17.032,0.00,0.00,0.00,--,0.00,0.02,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.02
VA,51,Campbell County,031,51031,2015,55.086,0.01,0.15,0.16,--,0.14,0.45,0.00,0.00,0.45,0.00,0.08,0.08,0.07,0.29,0.00,0.00,0.29
VA,51,Caroline County,033,51033,2015,29.984,0.24,1.50,1.74,--,1.48,2.40,0.05,0.00,2.45,0.21,1.25,1.46,1.24,1.91,0.05,0.00,1.96
VA,51,Carroll County,035,51035,2015,29.724,0.02,0.46,0.48,--,0.40,1.47,0.00,0.00,1.47,0.00,0.31,0.31,0.26,1.09,0.00,0.00,1.09
VA,51,Charles City County,036,51036,2015,7.040,0.20,0.88,1.08,--,0.92,1.35,0.09,0.00,1.44,0.20,0.88,1.08,0.92,1.35,0.09,0.00,1.44
VA,51,Charlotte County,037,51037,2015,12.201,0.02,0.22,0.24,--,0.21,0.77,0.04,0.00,0.81,0.01,0.20,0.21,0.18,0.72,0.04,0.00,0.76
VA,51,Chesterfield County,041,51041,2015,335.687,0.15,0.60,0.75,--,0.63,1.47,0.06,0.00,1.53,0.00,0.04,0.04,0.03,0.00,0.06,0.00,0.06
VA,51,Clarke County,043,51043,2015,14.363,0.05,0.08,0.13,--,0.11,0.30,0.00,0.00,0.30,0.04,0.07,0.11,0.09,0.25,0.00,0.00,0.25
VA,51,Craig County,045,51045,2015,5.211,0.00,0.00,0.00,--,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01
VA,51,Culpeper County,047,51047,2015,49.432,0.09,0.21,0.30,--,0.26,0.86,0.00,0.00,0.86,0.04,0.19,0.23,0.20,0.64,0.00,0.00,0.64
VA,51,Cumberland County,049,51049,2015,9.719,0.00,0.00,0.00,--,0.00,0.01,0.01,0.00,0.02,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.02
VA,51,Dickenson County,051,51051,2015,15.115,0.00,0.03,0.03,--,0.03,0.05,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Dinwiddie County,053,51053,2015,27.852,0.03,0.33,0.36,--,0.30,1.25,0.02,0.00,1.27,0.02,0.29,0.31,0.26,1.14,0.02,0.00,1.16
VA,51,Essex County,057,51057,2015,11.130,0.07,0.57,0.64,--,0.55,2.48,0.00,0.00,2.48,0.03,0.53,0.56,0.48,2.32,0.00,0.00,2.32
VA,51,Fairfax County,059,51059,2015,1142.234,0.15,0.92,1.07,--,0.91,2.88,0.00,0.00,2.88,0.00,0.02,0.02,0.02,0.05,0.00,0.00,0.05
VA,51,Fauquier County,061,51061,2015,68.782,0.01,0.27,0.28,--,0.23,0.60,0.01,0.00,0.61,0.00,0.17,0.17,0.14,0.38,0.01,0.00,0.39
VA,51,Floyd County,063,51063,2015,15.651,0.00,0.07,0.07,--,0.06,0.30,0.00,0.00,0.30,0.00,0.06,0.06,0.05,0.19,0.00,0.00,0.19
VA,51,Fluvanna County,065,51065,2015,26.235,0.05,0.08,0.13,--,0.11,0.22,0.14,0.00,0.36,0.00,0.05,0.05,0.04,0.00,0.14,0.00,0.14
VA,51,Franklin County,067,51067,2015,56.264,0.05,0.50,0.55,--,0.47,1.22,0.00,0.00,1.22,0.03,0.24,0.27,0.23,0.89,0.00,0.00,0.89
VA,51,Frederick County,069,51069,2015,83.199,0.09,0.09,0.18,--,0.15,0.38,0.15,0.00,0.53,0.00,0.04,0.04,0.03,0.00,0.15,0.00,0.15
VA,51,Giles County,071,51071,2015,16.708,0.00,0.09,0.09,--,0.08,0.16,0.03,0.00,0.19,0.00,0.01,0.01,0.01,0.00,0.03,0.00,0.03
VA,51,Gloucester County,073,51073,2015,37.143,0.01,0.03,0.04,--,0.04,0.05,0.05,0.00,0.10,0.00,0.01,0.01,0.01,0.00,0.05,0.00,0.05
VA,51,Goochland County,075,51075,2015,22.253,0.01,0.27,0.28,--,0.24,0.63,0.00,0.00,0.63,0.00,0.01,0.01,0.01,0.03,0.00,0.00,0.03
VA,51,Grayson County,077,51077,2015,16.012,0.01,0.07,0.08,--,0.07,0.15,0.00,0.00,0.15,0.00,0.02,0.02,0.02,0.04,0.00,0.00,0.04
VA,51,Greene County,079,51079,2015,19.162,0.00,0.04,0.04,--,0.04,0.16,0.00,0.00,0.16,0.00,0.01,0.01,0.01,0.05,0.00,0.00,0.05
VA,51,Greensville County,081,51081,2015,11.885,0.00,0.15,0.15,--,0.13,0.36,0.00,0.00,0.36,0.00,0.09,0.09,0.08,0.25,0.00,0.00,0.25
VA,51,Halifax County,083,51083,2015,35.125,0.08,0.70,0.78,--,0.66,2.22,0.16,0.00,2.38,0.03,0.64,0.67,0.57,2.00,0.16,0.00,2.16
VA,51,Hanover County,085,51085,2015,103.227,0.11,1.50,1.61,--,1.36,3.19,0.42,0.00,3.61,0.04,1.33,1.37,1.16,2.92,0.42,0.00,3.34
VA,51,Henrico County,087,51087,2015,325.155,0.04,0.90,0.94,--,0.80,1.09,0.00,0.00,1.09,0.03,0.45,0.48,0.41,0.33,0.00,0.00,0.33
VA,51,Henry County,089,51089,2015,51.881,0.01,0.10,0.11,--,0.09,0.54,0.14,0.00,0.68,0.00,0.04,0.04,0.03,0.00,0.14,0.00,0.14
VA,51,Highland County,091,51091,2015,2.214,0.01,0.02,0.03,--,0.03,0.05,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Isle of Wight County,093,51093,2015,36.314,0.21,0.35,0.56,--,0.48,0.81,0.00,0.00,0.81,0.21,0.32,0.53,0.45,0.70,0.00,0.00,0.70
VA,51,James City County,095,51095,2015,73.147,0.19,0.03,0.22,--,0.19,1.51,0.00,0.00,1.51,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.04
VA,51,King and Queen County,097,51097,2015,7.158,0.01,0.87,0.88,--,0.75,0.99,0.00,0.00,0.99,0.01,0.87,0.88,0.75,0.99,0.00,0.00,0.99
VA,51,King George County,099,51099,2015,25.515,0.01,0.15,0.16,--,0.14,0.51,0.00,0.00,0.51,0.00,0.14,0.14,0.12,0.35,0.00,0.00,0.35
VA,51,King William County,101,51101,2015,16.269,0.13,1.21,1.34,--,1.14,1.28,0.01,0.00,1.29,0.13,1.16,1.29,1.10,1.12,0.01,0.00,1.13
VA,51,Lancaster County,103,51103,2015,10.965,0.03,0.10,0.13,--,0.11,0.43,0.00,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Lee County,105,51105,2015,24.742,0.01,0.07,0.08,--,0.07,0.17,0.00,0.00,0.17,0.00,0.02,0.02,0.02,0.06,0.00,0.00,0.06
VA,51,Loudoun County,107,51107,2015,375.629,0.18,0.77,0.95,--,0.81,2.27,0.00,0.00,2.27,0.06,0.09,0.15,0.13,0.58,0.00,0.00,0.58
VA,51,Louisa County,109,51109,2015,34.602,0.03,0.15,0.18,--,0.15,0.50,0.00,0.00,0.50,0.00,0.05,0.05,0.04,0.28,0.00,0.00,0.28
VA,51,Lunenburg County,111,51111,2015,12.299,0.02,0.16,0.18,--,0.15,0.54,0.01,0.00,0.55,0.01,0.12,0.13,0.11,0.43,0.01,0.00,0.44
VA,51,Madison County,113,51113,2015,13.134,0.00,0.04,0.04,--,0.04,0.10,0.01,0.00,0.11,0.00,0.01,0.01,0.01,0.05,0.01,0.00,0.06
VA,51,Mathews County,115,51115,2015,8.862,0.00,0.00,0.00,--,0.00,0.00,0.02,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02
VA,51,Mecklenburg County,117,51117,2015,31.081,0.08,0.87,0.95,--,0.81,2.94,0.15,0.00,3.09,0.04,0.84,0.88,0.75,2.61,0.15,0.00,2.76
VA,51,Middlesex County,119,51119,2015,10.606,0.06,0.46,0.52,--,0.44,0.44,0.15,0.00,0.59,0.05,0.43,0.48,0.41,0.33,0.15,0.00,0.48
VA,51,Montgomery County,121,51121,2015,97.653,0.10,0.28,0.38,--,0.32,0.68,0.00,0.00,0.68,0.02,0.22,0.24,0.20,0.35,0.00,0.00,0.35
VA,51,Nelson County,125,51125,2015,14.785,0.00,0.51,0.51,--,0.43,0.38,0.86,0.00,1.24,0.00,0.32,0.32,0.27,0.00,0.86,0.00,0.86
VA,51,New Kent County,127,51127,2015,20.392,0.07,0.16,0.23,--,0.19,0.99,0.04,0.00,1.03,0.05,0.08,0.13,0.11,0.45,0.04,0.00,0.49
VA,51,Northampton County,131,51131,2015,12.155,0.59,1.75,2.34,--,1.99,3.20,3.35,0.00,6.55,0.58,1.22,1.80,1.53,2.98,3.35,0.00,6.33
VA,51,Northumberland County,133,51133,2015,12.232,0.03,0.03,0.06,--,0.05,0.20,0.00,0.00,0.20,0.01,0.01,0.02,0.02,0.04,0.00,0.00,0.04
VA,51,Nottoway County,135,51135,2015,15.673,0.00,0.08,0.08,--,0.07,0.19,0.00,0.00,0.19,0.00,0.02,0.02,0.02,0.08,0.00,0.00,0.08
VA,51,Orange County,137,51137,2015,35.385,0.04,0.27,0.31,--,0.26,1.16,0.00,0.00,1.16,0.00,0.17,0.17,0.14,0.56,0.00,0.00,0.56
VA,51,Page County,139,51139,2015,23.726,0.04,0.28,0.32,--,0.27,1.11,0.00,0.00,1.11,0.03,0.23,0.26,0.22,1.00,0.00,0.00,1.00
VA,51,Patrick County,141,51141,2015,18.045,0.03,0.10,0.13,--,0.11,0.32,0.00,0.00,0.32,0.00,0.03,0.03,0.03,0.10,0.00,0.00,0.10
VA,51,Pittsylvania County,143,51143,2015,62.194,0.13,1.12,1.25,--,1.06,4.05,0.00,0.00,4.05,0.05,1.03,1.08,0.92,3.72,0.00,0.00,3.72
VA,51,Powhatan County,145,51145,2015,28.031,0.04,0.10,0.14,--,0.13,0.32,0.00,0.00,0.32,0.00,0.02,0.02,0.02,0.10,0.00,0.00,0.10
VA,51,Prince Edward County,147,51147,2015,22.952,0.02,0.13,0.15,--,0.13,0.30,0.02,0.00,0.32,0.00,0.02,0.02,0.02,0.08,0.02,0.00,0.10
VA,51,Prince George County,149,51149,2015,37.862,0.05,0.36,0.41,--,0.35,0.38,0.00,0.00,0.38,0.00,0.32,0.32,0.27,0.00,0.00,0.00,0.00
VA,51,Prince William County,153,51153,2015,451.721,0.21,0.82,1.03,--,0.88,3.08,0.00,0.00,3.08,0.03,0.64,0.67,0.57,1.01,0.00,0.00,1.01
VA,51,Pulaski County,155,51155,2015,34.332,0.02,0.08,0.10,--,0.08,0.34,0.00,0.00,0.34,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01
VA,51,Rappahannock County,157,51157,2015,7.378,0.00,0.07,0.07,--,0.06,0.09,0.04,0.00,0.13,0.00,0.07,0.07,0.06,0.09,0.04,0.00,0.13
VA,51,Richmond County,159,51159,2015,8.908,0.03,0.08,0.11,--,0.09,0.22,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Roanoke County,161,51161,2015,94.409,0.26,0.43,0.69,--,0.59,0.54,0.10,0.00,0.64,0.00,0.03,0.03,0.03,0.00,0.10,0.00,0.10
VA,51,Rockbridge County,163,51163,2015,22.354,0.01,0.07,0.08,--,0.07,0.36,0.00,0.00,0.36,0.00,0.03,0.03,0.03,0.14,0.00,0.00,0.14
VA,51,Rockingham County,165,51165,2015,78.593,0.34,1.48,1.82,--,1.55,6.24,0.12,0.00,6.36,0.30,1.32,1.62,1.38,5.53,0.12,0.00,5.65
VA,51,Russell County,167,51167,2015,27.891,0.00,0.03,0.03,--,0.03,0.06,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01
VA,51,Scott County,169,51169,2015,22.126,0.00,0.04,0.04,--,0.04,0.05,0.06,0.00,0.11,0.00,0.01,0.01,0.01,0.00,0.06,0.00,0.06
VA,51,Shenandoah County,171,51171,2015,43.190,0.06,0.40,0.46,--,0.39,0.99,0.00,0.00,0.99,0.02,0.20,0.22,0.19,0.72,0.00,0.00,0.72
VA,51,Smyth County,173,51173,2015,31.470,0.03,0.02,0.05,--,0.04,0.22,0.02,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02
VA,51,Southampton County,175,51175,2015,18.109,0.04,0.78,0.82,--,0.70,3.25,0.00,0.00,3.25,0.04,0.78,0.82,0.70,3.25,0.00,0.00,3.25
VA,51,Spotsylvania County,177,51177,2015,130.475,0.02,0.20,0.22,--,0.19,0.17,0.00,0.00,0.17,0.01,0.01,0.02,0.02,0.06,0.00,0.00,0.06
VA,51,Stafford County,179,51179,2015,142.003,0.04,0.07,0.11,--,0.09,0.27,0.02,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02
VA,51,Surry County,181,51181,2015,6.709,0.12,0.18,0.30,--,0.26,1.24,0.00,0.00,1.24,0.12,0.18,0.30,0.26,1.24,0.00,0.00,1.24
VA,51,Sussex County,183,51183,2015,11.715,0.00,0.33,0.33,--,0.28,1.29,0.08,0.00,1.37,0.00,0.33,0.33,0.28,1.29,0.08,0.00,1.37
VA,51,Tazewell County,185,51185,2015,42.899,0.00,0.09,0.09,--,0.08,0.29,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.02
VA,51,Warren County,187,51187,2015,39.083,0.07,0.07,0.14,--,0.12,0.66,0.01,0.00,0.67,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.02
VA,51,Washington County,191,51191,2015,54.591,0.13,0.37,0.50,--,0.43,0.65,0.22,0.00,0.87,0.03,0.04,0.07,0.06,0.00,0.22,0.00,0.22
VA,51,Westmoreland County,193,51193,2015,17.629,0.09,1.62,1.71,--,1.46,1.45,0.24,0.00,1.69,0.09,1.59,1.68,1.43,1.40,0.24,0.00,1.64
VA,51,Wise County,195,51195,2015,39.718,0.02,0.06,0.08,--,0.07,0.16,0.01,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01
VA,51,Wythe County,197,51197,2015,29.119,0.02,0.06,0.08,--,0.07,0.13,0.05,0.00,0.18,0.01,0.01,0.02,0.02,0.02,0.05,0.00,0.07
VA,51,York County,199,51199,2015,67.837,0.01,0.06,0.07,--,0.05,0.13,0.00,0.00,0.13,0.00,0.01,0.01,0.00,0.02,0.00,0.00,0.02
VA,51,Alexandria City,510,51510,2015,153.511,0.00,0.01,0.01,--,0.01,0.05,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Bristol City,520,51520,2015,17.141,0.03,0.03,0.06,--,0.05,0.11,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Buena Vista City,530,51530,2015,6.618,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Charlottesville City,540,51540,2015,46.597,0.00,0.03,0.03,--,0.03,0.05,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Chesapeake City,550,51550,2015,235.429,0.11,0.17,0.28,--,0.24,0.64,0.07,0.00,0.71,0.00,0.07,0.07,0.06,0.21,0.07,0.00,0.28
VA,51,Colonial Heights City,570,51570,2015,17.820,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Covington City,580,51580,2015,5.658,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Danville City,590,51590,2015,42.082,0.02,0.15,0.17,--,0.14,0.33,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Emporia City,595,51595,2015,5.496,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Fairfax City,600,51600,2015,24.013,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Falls Church City,610,51610,2015,13.892,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Franklin City,620,51620,2015,8.490,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Fredericksburg City,630,51630,2015,28.118,0.00,0.02,0.02,--,0.02,0.33,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Galax City,640,51640,2015,6.914,0.02,0.06,0.08,--,0.07,0.16,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Hampton City,650,51650,2015,136.454,0.03,0.01,0.04,--,0.03,0.49,0.00,0.00,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Harrisonburg City,660,51660,2015,52.538,0.01,0.06,0.07,--,0.06,0.11,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Hopewell City,670,51670,2015,22.378,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Lexington City,678,51678,2015,7.262,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Lynchburg City,680,51680,2015,79.812,0.00,0.03,0.03,--,0.03,0.05,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Manassas City,683,51683,2015,41.764,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Manassas Park City,685,51685,2015,15.726,0.01,0.04,0.05,--,0.04,0.11,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Martinsville City,690,51690,2015,13.645,0.01,0.05,0.06,--,0.05,0.11,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Newport News City,700,51700,2015,182.385,0.08,0.10,0.18,--,0.15,0.60,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Norfolk City,710,51710,2015,246.393,0.02,0.04,0.06,--,0.05,0.27,0.00,0.00,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Norton City,720,51720,2015,3.939,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Petersburg City,730,51730,2015,32.477,0.03,0.03,0.06,--,0.05,0.11,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Poquoson City,735,51735,2015,12.059,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Portsmouth City,740,51740,2015,96.201,0.07,0.04,0.11,--,0.09,0.27,0.00,0.00,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Radford City,750,51750,2015,17.403,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Richmond City,760,51760,2015,220.289,0.13,0.15,0.28,--,0.24,0.54,0.00,0.00,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Roanoke City,770,51770,2015,99.897,0.06,0.17,0.23,--,0.20,0.43,0.00,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Salem City,775,51775,2015,25.432,0.01,0.02,0.03,--,0.03,0.05,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Staunton City,790,51790,2015,24.416,0.03,0.08,0.11,--,0.09,0.22,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Suffolk City,800,51800,2015,88.161,0.10,0.44,0.54,--,0.45,0.94,0.01,0.00,0.95,0.04,0.33,0.37,0.31,0.40,0.01,0.00,0.41
VA,51,Virginia Beach City,810,51810,2015,452.745,0.53,0.38,0.91,--,0.77,2.15,0.15,0.00,2.30,0.01,0.09,0.10,0.08,0.03,0.15,0.00,0.18
VA,51,Waynesboro City,820,51820,2015,21.491,0.02,0.03,0.05,--,0.04,0.16,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Williamsburg City,830,51830,2015,15.052,0.04,0.11,0.15,--,0.13,0.27,0.00,0.00,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,51,Winchester City,840,51840,2015,27.284,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WA,53,Adams County,001,53001,2015,19.254,75.15,80.20,155.35,0.00,122.46,102.43,4.20,22.60,129.23,75.00,80.20,155.20,122.34,102.35,4.20,22.60,129.15
WA,53,Asotin County,003,53003,2015,22.105,0.18,0.21,0.39,0.00,0.31,0.60,0.01,0.00,0.61,0.06,0.21,0.27,0.21,0.47,0.01,0.00,0.48
WA,53,Benton County,005,53005,2015,190.309,42.14,205.18,247.32,0.00,196.71,150.55,6.05,14.30,170.90,42.00,204.88,246.88,196.36,150.35,6.05,14.30,170.70
WA,53,Chelan County,007,53007,2015,75.644,1.95,24.47,26.42,0.00,21.12,16.86,0.10,0.00,16.96,1.34,24.19,25.53,20.41,16.50,0.10,0.00,16.60
WA,53,Clallam County,009,53009,2015,73.486,0.91,5.56,6.47,0.00,5.20,4.11,0.15,0.00,4.26,0.36,5.53,5.89,4.74,3.90,0.15,0.00,4.05
